paredblolad,pisomoscer,cielorazo,energcocinar3,eviv3,lugar1,v2a1,dependency,edjefe,edjefa,meaneduc,overcrowding,rooms,r4h2,r4h3,r4m3,r4t1,r4t2,tamviv,hogar_nin,hogar_adul,bedrooms,qmobilephone,walls,roof,floor,walls+roof+floor,warning,bonus,phones-per-capita,rooms-per-capita,rent-per-capita,female-sum,female-std,estadocivil7-sum,estadocivil7-std,parentesco2-std,parentesco3-sum,instlevel1-sum,instlevel2-sum,instlevel2-std,instlevel3-sum,instlevel3-std,instlevel4-std,instlevel8-max,instlevel8-sum,escolari-min,escolari-max,escolari-sum,escolari-std,escolari-range_,age-min,age-max,age-sum,age-std,age-range_,inst-max,inst-std,inst-range_,escolari/age-min,escolari/age-max,escolari/age-sum,escolari/age-std,escolari/age-range_,inst/age-max,inst/age-std,inst/age-range_,tech-sum,Target,idhogar
1.0,1.0,1.0,1.0,0.0,1.0,0.08073161539288466,0.0,0.47619047619047616,0.0,0.2702702702702703,0.13793103448275862,0.20000000000000004,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1,0.5,0.0,0.0,0.16666666666666666,0.0,0.25,0.3333333333333333,0.32075471698113206,0.19,0.0,0.8164965809277259,0.0,0.7302967433402213,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.47619047619047616,0.08620689655172414,0.23328473740792174,0.0,0.4574468085106383,0.31645569620253167,0.07042253521126761,0.3857822080500523,0.0,0.375,0.25,0.0,0.33222591362126247,0.3146374829001368,0.04268604455762277,0.3731977223381577,0.0,0.1794019933554817,0.28529136987830817,0.0,0.045454545454545456,4.0,21eb7fcc1
0.0,0.0,1.0,0.0,0.0,1.0,0.0573619372528391,1.0,0.5714285714285714,0.0,0.32432432432432434,0.13793103448275862,0.30000000000000004,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1,0.5,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.43396226415094336,0.13499999999999998,0.0,0.8164965809277259,0.0,0.7302967433402213,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5714285714285714,0.5714285714285714,0.10344827586206896,0.23328473740792174,0.0,0.7127659574468085,0.620253164556962,0.1380281690140845,0.3857822080500523,0.0,0.875,0.25,0.0,0.255863539445629,0.24231782265144863,0.03287462536079604,0.3731977223381577,0.0,0.2686567164179104,0.28529136987830817,0.0,0.09090909090909091,4.0,0e5d7a658
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5238095238095237,0.2972972972972973,0.05172413793103448,0.7000000000000001,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.5,1.0,1.0,0.8333333333333333,0.0,0.25,0.0,0.8867924528301886,0.0,0.125,0.8164965809277259,0.0,0.7302967433402213,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.5238095238095237,0.09482758620689655,0.23328473740792174,0.0,0.9787234042553191,0.9367088607594937,0.2084507042253521,0.3857822080500523,0.0,0.5,0.25,0.0,0.17080745341614909,0.16176470588235295,0.021946194647560403,0.3731977223381577,0.0,0.11180124223602483,0.28529136987830817,0.0,0.0,4.0,2c7317ea8
1.0,1.0,1.0,0.0,1.0,1.0,0.07648258300378546,0.125,0.5238095238095237,0.0,0.2972972972972973,0.19540231034482758,0.4,0.25,0.25,0.25,0.14285714285714285,0.20000000000000004,0.21428571428571427,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,0.5,0.25,0.12264150943396226,0.045,0.25,0.8164965809277259,0.1,0.7071067811865475,0.7071067811865475,0.2,0.0,0.2,0.7071067811865475,0.0,0.0,0.7071067811865475,0.0,0.0,0.09523809523809523,0.5238095238095237,0.28448275862068967,0.2876915707998708,0.42857142857142855,0.0851063829787234,0.25316455696202533,0.23098591549295777,0.34788632555985755,0.32258064516129037,0.5,0.25,0.375,0.35714285714285715,0.7162629757785468,0.2507628315885549,0.28609517661149547,0.39915966386554624,0.453781512605042,0.14884608963486587,0.18513931888544893,0.36363636363636365,4.0,2b58d945f
1.0,1.0,1.0,1.0,0.0,1.0,0.05523742105828951,0.125,0.42857142857142855,0.0,0.2702702702702703,0.6551724137931035,0.1,0.125,0.125,0.375,0.2857142857142857,0.1,0.21428571428571427,0.2222222222222222,0.2222222222222222,0.0,0.1,0.0,0.0,0.5,0.16666666666666666,0.0,0.25,0.08333333333333333,0.03773584905660377,0.0325,0.375,0.7071067811865475,0.1,0.7071067811865475,0.7071067811865475,0.2,0.2,0.2,0.7071067811865475,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.5238095238095237,0.19827586206896552,0.3450327796711771,0.5238095238095237,0.07446808510638298,0.15189873417721517,0.16338028169014085,0.2729557025510765,0.24731182795698928,0.5,0.3227486121839514,0.5,0.0,0.5315126050420168,0.17723301136746478,0.3807588633597657,0.5612244897959183,0.36734693877551017,0.2708287685539375,0.37142857142857133,0.18181818181818182,4.0,d6dae86b7
0.0,1.0,1.0,0.0,1.0,1.0,0.04249032389099192,0.125,0.0,0.5238095238095237,0.6216216216216217,0.13793103448275862,0.20000000000000004,0.0,0.0,0.25,0.0,0.1,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1,1.0,1.0,1.0,1.0,0.0,0.25,0.16666666666666666,0.1509433962264151,0.049999999999999996,0.25,0.0,0.1,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.5714285714285714,0.19827586206896552,0.04761904761904763,0.047619047619047616,0.19148936170212766,0.20253164556962028,0.09577464788732394,0.2641592700144766,0.17204301075268819,0.75,0.25,0.25,0.46218487394957986,0.9019607843137255,0.18175048187623108,0.5468322787282243,0.4901960784313725,0.857142857142857,0.6876953680022733,0.5607843137254901,0.09090909090909091,4.0,bb2094100
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.19047619047619047,0.2567567567567568,0.13793103448275862,0.30000000000000004,0.125,0.125,0.125,0.0,0.1,0.07142857142857142,0.0,0.2222222222222222,0.14285714285714285,0.1,1.0,1.0,0.5,0.8333333333333333,0.25,0.5,0.16666666666666666,0.20754716981132074,0.0,0.125,1.0,0.1,1.0,0.0,0.1,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.2,0.19047619047619047,0.7142857142857142,0.16379310344827586,0.5238095238095238,0.5238095238095237,0.4148936170212766,0.7721518987341772,0.28169014084507044,0.6603981750361915,0.4301075268817205,0.875,0.7499999999999999,0.75,0.07233273056057866,0.5203619909502263,0.07988982107517695,0.5322429852159037,0.47711781888997085,0.4615384615384615,0.5319183965303944,0.43375527426160326,0.18181818181818182,4.0,c51f9c774
0.0,0.0,1.0,0.0,0.0,1.0,0.03824129150189273,0.375,0.0,0.47619047619047616,0.4594594594594595,0.6551724137931035,0.1,0.25,0.25,0.25,0.0,0.30000000000000004,0.21428571428571427,0.2222222222222222,0.2222222222222222,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.03773584905660377,0.0225,0.25,0.8164965809277259,0.1,0.7071067811865475,0.7071067811865475,0.1,0.0,0.2,0.7071067811865475,0.0,0.0,0.7071067811865475,0.0,0.0,0.09523809523809523,0.5238095238095237,0.29310344827586204,0.2935435239509037,0.42857142857142855,0.20212765957446807,0.6582278481012658,0.3943661971830986,0.5846482329076603,0.5483870967741936,0.5,0.25,0.375,0.04081632653061224,0.7832817337461301,0.25448585301225746,0.6248479790352914,0.7862513426423201,0.5413533834586466,0.45915052197464634,0.5102255639097744,0.18181818181818182,4.0,6893e65ca
1.0,1.0,1.0,1.0,1.0,1.0,0.09135419636563265,0.0,0.7142857142857142,0.0,0.3648648648648649,0.13793103448275862,0.30000000000000004,0.125,0.125,0.125,0.0,0.1,0.07142857142857142,0.0,0.2222222222222222,0.14285714285714285,0.2,1.0,1.0,1.0,1.0,0.0,0.25,0.3333333333333333,0.20754716981132074,0.1075,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5714285714285714,0.7142857142857142,0.23275862068965517,0.14285714285714288,0.14285714285714285,0.23404255319148937,0.10126582278481011,0.08450704225352114,0.06603981750361915,0.043010752688172046,0.875,0.125,0.125,0.7792207792207791,0.7805429864253394,0.20601240315694652,0.050149054133117855,0.04495504495504494,0.7012987012987012,0.011148272017837123,0.00909090909090907,0.09090909090909091,4.0,d29058053
0.0,0.0,1.0,0.0,0.0,1.0,0.06373548583648789,1.0,0.19047619047619047,0.0,0.2702702702702703,0.3103448275862069,0.20000000000000004,0.125,0.125,0.125,0.0,0.1,0.07142857142857142,0.0,0.2222222222222222,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.1509433962264151,0.075,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.2,0.19047619047619047,0.7619047619047619,0.1724137931034483,0.5714285714285715,0.5714285714285714,0.7021276595744681,0.6455696202531646,0.3295774647887324,0.04952986312771435,0.03225806451612903,0.875,0.7499999999999999,0.75,0.08281573498964803,0.32798573975044565,0.055137546883126956,0.29394936722149606,0.2635046113306983,0.2727272727272727,0.29195547153959256,0.23807641633728588,0.09090909090909091,4.0,ec0e8edce
